question_text,expected_answer,bloom_label,complexity_score,technology
Explain the concept of CompletableFuture and its use cases.,"CompletableFuture is a powerful asynchronous programming tool introduced in Java 8. It represents a future result of an asynchronous computation and provides methods for combining, chaining, and handling multiple asynchronous operations. Use cases include non-blocking I/O operations, parallel processing, and building reactive applications with better resource utilization.",UNDERSTAND,3.3,java
What is the difference between CountDownLatch and CyclicBarrier?,"CountDownLatch is a one-time synchronization aid where threads wait for a count to reach zero. It cannot be reused. CyclicBarrier allows a set of threads to wait for each other to reach a common barrier point and can be reused. CountDownLatch is used for 'wait for N operations to complete', while CyclicBarrier is for 'wait for N threads to be ready'.",APPLY,4.6,java
How do you handle memory leaks in Java applications?,"Memory leaks occur when objects are unintentionally retained in memory. Prevention strategies include: 1) Properly closing resources using try-with-resources, 2) Removing listeners and callbacks, 3) Clearing static collections, 4) Using weak references for caches, 5) Profiling with tools like JVisualVM or Eclipse MAT, and 6) Implementing proper object lifecycle management.",REMEMBER,4.6,java
What is the difference between Optional and null in Java?,"Optional is a container class introduced in Java 8 that represents the presence or absence of a value without using null. It provides methods like isPresent(), ifPresent(), map(), and orElse() to handle absent values gracefully. Optional helps prevent NullPointerException and makes code more expressive and safer than traditional null checks.",REMEMBER,4.0,java
Explain the concept of method references in Java 8.,"Method references provide a shorthand syntax for lambda expressions that call a single method. Types include: 1) Static method references (Class::staticMethod), 2) Instance method references (object::instanceMethod), 3) Constructor references (Class::new), and 4) Arbitrary object method references (Class::instanceMethod). They improve code readability and reusability.",UNDERSTAND,4.3,java
What is the difference between fail-fast and fail-safe iterators with examples?,"Fail-fast iterators (ArrayList, HashMap) throw ConcurrentModificationException when the collection is modified during iteration. They work on the original collection. Fail-safe iterators (ConcurrentHashMap, CopyOnWriteArrayList) work on a copy of the collection and don't throw exceptions but may not reflect recent changes. Example: ArrayList iterator vs ConcurrentHashMap iterator.",REMEMBER,4.4,java
How do you implement a custom exception in Java?,"Custom exceptions are created by extending Exception (checked) or RuntimeException (unchecked). Best practices include: 1) Providing meaningful names, 2) Including multiple constructors, 3) Adding custom fields for additional context, 4) Implementing proper serialization, and 5) Following the exception hierarchy appropriately based on whether it should be checked or unchecked.",CREATE,6.8,java
What is the Java Memory Model and how does it support multithreaded applications?,"The Java Memory Model (JMM) defines how threads interact through memory and what behaviors are allowed in concurrent execution. It specifies rules for visibility, ordering, and atomicity of shared variables. The JMM ensures that changes made by one thread are visible to other threads through proper synchronization mechanisms like volatile, synchronized blocks, and explicit locks.",REMEMBER,4.1,java
How do you create a thread-safe singleton class in Java?,"A thread-safe singleton can be created using: 1) Synchronized method approach, 2) Double-checked locking with volatile keyword, 3) Enum-based singleton (recommended), 4) Initialization-on-demand holder idiom, or 5) Using concurrent utilities like AtomicReference. The enum approach is preferred as it handles serialization and thread-safety automatically.",EVALUATE,5.8,java
What is the difference between ConcurrentHashMap and HashMap in multithreaded environments?,HashMap is not thread-safe and can cause infinite loops or data corruption in multithreaded environments. ConcurrentHashMap uses segment-based locking (Java 7) or CAS operations with synchronized blocks (Java 8+) to provide thread-safe operations with better performance than synchronized HashMap. It allows concurrent reads and limited concurrent writes.,APPLY,5.5,java
Explain the concept of CompletableFuture and its use cases.,"CompletableFuture is a powerful asynchronous programming tool introduced in Java 8. It represents a future result of an asynchronous computation and provides methods for combining, chaining, and handling multiple asynchronous operations. Use cases include non-blocking I/O operations, parallel processing, and building reactive applications with better resource utilization.",UNDERSTAND,3.3,java
What is the Java Memory Model and how does it support multithreaded applications?,"The Java Memory Model (JMM) defines how threads interact through memory and what behaviors are allowed in concurrent execution. It specifies rules for visibility, ordering, and atomicity of shared variables. The JMM ensures that changes made by one thread are visible to other threads through proper synchronization mechanisms like volatile, synchronized blocks, and explicit locks.",REMEMBER,4.1,java
How do you create a thread-safe singleton class in Java?,"A thread-safe singleton can be created using: 1) Synchronized method approach, 2) Double-checked locking with volatile keyword, 3) Enum-based singleton (recommended), 4) Initialization-on-demand holder idiom, or 5) Using concurrent utilities like AtomicReference. The enum approach is preferred as it handles serialization and thread-safety automatically.",EVALUATE,5.8,java
What is the difference between ConcurrentHashMap and HashMap in multithreaded environments?,HashMap is not thread-safe and can cause infinite loops or data corruption in multithreaded environments. ConcurrentHashMap uses segment-based locking (Java 7) or CAS operations with synchronized blocks (Java 8+) to provide thread-safe operations with better performance than synchronized HashMap. It allows concurrent reads and limited concurrent writes.,APPLY,5.5,java
Explain the concept of CompletableFuture and its use cases.,"CompletableFuture is a powerful asynchronous programming tool introduced in Java 8. It represents a future result of an asynchronous computation and provides methods for combining, chaining, and handling multiple asynchronous operations. Use cases include non-blocking I/O operations, parallel processing, and building reactive applications with better resource utilization.",UNDERSTAND,3.3,java
What is the Java Memory Model and how does it support multithreaded applications?,"The Java Memory Model (JMM) defines how threads interact through memory and what behaviors are allowed in concurrent execution. It specifies rules for visibility, ordering, and atomicity of shared variables. The JMM ensures that changes made by one thread are visible to other threads through proper synchronization mechanisms like volatile, synchronized blocks, and explicit locks.",REMEMBER,4.1,java
How do you create a thread-safe singleton class in Java?,"A thread-safe singleton can be created using: 1) Synchronized method approach, 2) Double-checked locking with volatile keyword, 3) Enum-based singleton (recommended), 4) Initialization-on-demand holder idiom, or 5) Using concurrent utilities like AtomicReference. The enum approach is preferred as it handles serialization and thread-safety automatically.",EVALUATE,5.8,java
What is the difference between ConcurrentHashMap and HashMap in multithreaded environments?,HashMap is not thread-safe and can cause infinite loops or data corruption in multithreaded environments. ConcurrentHashMap uses segment-based locking (Java 7) or CAS operations with synchronized blocks (Java 8+) to provide thread-safe operations with better performance than synchronized HashMap. It allows concurrent reads and limited concurrent writes.,APPLY,5.5,java
Explain the concept of CompletableFuture and its use cases.,"CompletableFuture is a powerful asynchronous programming tool introduced in Java 8. It represents a future result of an asynchronous computation and provides methods for combining, chaining, and handling multiple asynchronous operations. Use cases include non-blocking I/O operations, parallel processing, and building reactive applications with better resource utilization.",UNDERSTAND,3.3,java
What is the Java Memory Model and how does it support multithreaded applications?,"The Java Memory Model (JMM) defines how threads interact through memory and what behaviors are allowed in concurrent execution. It specifies rules for visibility, ordering, and atomicity of shared variables. The JMM ensures that changes made by one thread are visible to other threads through proper synchronization mechanisms like volatile, synchronized blocks, and explicit locks.",REMEMBER,4.1,java
How do you create a thread-safe singleton class in Java?,"A thread-safe singleton can be created using: 1) Synchronized method approach, 2) Double-checked locking with volatile keyword, 3) Enum-based singleton (recommended), 4) Initialization-on-demand holder idiom, or 5) Using concurrent utilities like AtomicReference. The enum approach is preferred as it handles serialization and thread-safety automatically.",EVALUATE,5.8,java
What is the difference between ConcurrentHashMap and HashMap in multithreaded environments?,HashMap is not thread-safe and can cause infinite loops or data corruption in multithreaded environments. ConcurrentHashMap uses segment-based locking (Java 7) or CAS operations with synchronized blocks (Java 8+) to provide thread-safe operations with better performance than synchronized HashMap. It allows concurrent reads and limited concurrent writes.,APPLY,5.5,java
Explain the concept of CompletableFuture and its use cases.,"CompletableFuture is a powerful asynchronous programming tool introduced in Java 8. It represents a future result of an asynchronous computation and provides methods for combining, chaining, and handling multiple asynchronous operations. Use cases include non-blocking I/O operations, parallel processing, and building reactive applications with better resource utilization.",UNDERSTAND,3.3,java
What is the Java Memory Model and how does it support multithreaded applications?,"The Java Memory Model (JMM) defines how threads interact through memory and what behaviors are allowed in concurrent execution. It specifies rules for visibility, ordering, and atomicity of shared variables. The JMM ensures that changes made by one thread are visible to other threads through proper synchronization mechanisms like volatile, synchronized blocks, and explicit locks.",REMEMBER,4.1,java
How do you create a thread-safe singleton class in Java?,"A thread-safe singleton can be created using: 1) Synchronized method approach, 2) Double-checked locking with volatile keyword, 3) Enum-based singleton (recommended), 4) Initialization-on-demand holder idiom, or 5) Using concurrent utilities like AtomicReference. The enum approach is preferred as it handles serialization and thread-safety automatically.",EVALUATE,5.8,java
What is the difference between ConcurrentHashMap and HashMap in multithreaded environments?,HashMap is not thread-safe and can cause infinite loops or data corruption in multithreaded environments. ConcurrentHashMap uses segment-based locking (Java 7) or CAS operations with synchronized blocks (Java 8+) to provide thread-safe operations with better performance than synchronized HashMap. It allows concurrent reads and limited concurrent writes.,APPLY,5.5,java
Explain the concept of CompletableFuture and its use cases.,"CompletableFuture is a powerful asynchronous programming tool introduced in Java 8. It represents a future result of an asynchronous computation and provides methods for combining, chaining, and handling multiple asynchronous operations. Use cases include non-blocking I/O operations, parallel processing, and building reactive applications with better resource utilization.",UNDERSTAND,3.3,java
What is the Java Memory Model and how does it support multithreaded applications?,"The Java Memory Model (JMM) defines how threads interact through memory and what behaviors are allowed in concurrent execution. It specifies rules for visibility, ordering, and atomicity of shared variables. The JMM ensures that changes made by one thread are visible to other threads through proper synchronization mechanisms like volatile, synchronized blocks, and explicit locks.",REMEMBER,4.1,java
How do you create a thread-safe singleton class in Java?,"A thread-safe singleton can be created using: 1) Synchronized method approach, 2) Double-checked locking with volatile keyword, 3) Enum-based singleton (recommended), 4) Initialization-on-demand holder idiom, or 5) Using concurrent utilities like AtomicReference. The enum approach is preferred as it handles serialization and thread-safety automatically.",EVALUATE,5.8,java
What is the difference between ConcurrentHashMap and HashMap in multithreaded environments?,HashMap is not thread-safe and can cause infinite loops or data corruption in multithreaded environments. ConcurrentHashMap uses segment-based locking (Java 7) or CAS operations with synchronized blocks (Java 8+) to provide thread-safe operations with better performance than synchronized HashMap. It allows concurrent reads and limited concurrent writes.,APPLY,5.5,java
Explain the concept of CompletableFuture and its use cases.,"CompletableFuture is a powerful asynchronous programming tool introduced in Java 8. It represents a future result of an asynchronous computation and provides methods for combining, chaining, and handling multiple asynchronous operations. Use cases include non-blocking I/O operations, parallel processing, and building reactive applications with better resource utilization.",UNDERSTAND,3.3,java
What is the Java Memory Model and how does it support multithreaded applications?,"The Java Memory Model (JMM) defines how threads interact through memory and what behaviors are allowed in concurrent execution. It specifies rules for visibility, ordering, and atomicity of shared variables. The JMM ensures that changes made by one thread are visible to other threads through proper synchronization mechanisms like volatile, synchronized blocks, and explicit locks.",REMEMBER,4.1,java
How do you create a thread-safe singleton class in Java?,"A thread-safe singleton can be created using: 1) Synchronized method approach, 2) Double-checked locking with volatile keyword, 3) Enum-based singleton (recommended), 4) Initialization-on-demand holder idiom, or 5) Using concurrent utilities like AtomicReference. The enum approach is preferred as it handles serialization and thread-safety automatically.",EVALUATE,5.8,java
What is the difference between ConcurrentHashMap and HashMap in multithreaded environments?,HashMap is not thread-safe and can cause infinite loops or data corruption in multithreaded environments. ConcurrentHashMap uses segment-based locking (Java 7) or CAS operations with synchronized blocks (Java 8+) to provide thread-safe operations with better performance than synchronized HashMap. It allows concurrent reads and limited concurrent writes.,APPLY,5.5,java
Explain the concept of CompletableFuture and its use cases.,"CompletableFuture is a powerful asynchronous programming tool introduced in Java 8. It represents a future result of an asynchronous computation and provides methods for combining, chaining, and handling multiple asynchronous operations. Use cases include non-blocking I/O operations, parallel processing, and building reactive applications with better resource utilization.",UNDERSTAND,3.3,java
What is the Java Memory Model and how does it support multithreaded applications?,"The Java Memory Model (JMM) defines how threads interact through memory and what behaviors are allowed in concurrent execution. It specifies rules for visibility, ordering, and atomicity of shared variables. The JMM ensures that changes made by one thread are visible to other threads through proper synchronization mechanisms like volatile, synchronized blocks, and explicit locks.",REMEMBER,4.1,java
How do you create a thread-safe singleton class in Java?,"A thread-safe singleton can be created using: 1) Synchronized method approach, 2) Double-checked locking with volatile keyword, 3) Enum-based singleton (recommended), 4) Initialization-on-demand holder idiom, or 5) Using concurrent utilities like AtomicReference. The enum approach is preferred as it handles serialization and thread-safety automatically.",EVALUATE,5.8,java
What is the difference between ConcurrentHashMap and HashMap in multithreaded environments?,HashMap is not thread-safe and can cause infinite loops or data corruption in multithreaded environments. ConcurrentHashMap uses segment-based locking (Java 7) or CAS operations with synchronized blocks (Java 8+) to provide thread-safe operations with better performance than synchronized HashMap. It allows concurrent reads and limited concurrent writes.,APPLY,5.5,java
Explain the concept of CompletableFuture and its use cases.,"CompletableFuture is a powerful asynchronous programming tool introduced in Java 8. It represents a future result of an asynchronous computation and provides methods for combining, chaining, and handling multiple asynchronous operations. Use cases include non-blocking I/O operations, parallel processing, and building reactive applications with better resource utilization.",UNDERSTAND,3.3,java
What is the Java Memory Model and how does it support multithreaded applications?,"The Java Memory Model (JMM) defines how threads interact through memory and what behaviors are allowed in concurrent execution. It specifies rules for visibility, ordering, and atomicity of shared variables. The JMM ensures that changes made by one thread are visible to other threads through proper synchronization mechanisms like volatile, synchronized blocks, and explicit locks.",REMEMBER,4.1,java
How do you create a thread-safe singleton class in Java?,"A thread-safe singleton can be created using: 1) Synchronized method approach, 2) Double-checked locking with volatile keyword, 3) Enum-based singleton (recommended), 4) Initialization-on-demand holder idiom, or 5) Using concurrent utilities like AtomicReference. The enum approach is preferred as it handles serialization and thread-safety automatically.",EVALUATE,5.8,java
What is the difference between ConcurrentHashMap and HashMap in multithreaded environments?,HashMap is not thread-safe and can cause infinite loops or data corruption in multithreaded environments. ConcurrentHashMap uses segment-based locking (Java 7) or CAS operations with synchronized blocks (Java 8+) to provide thread-safe operations with better performance than synchronized HashMap. It allows concurrent reads and limited concurrent writes.,APPLY,5.5,java
Explain the concept of CompletableFuture and its use cases.,"CompletableFuture is a powerful asynchronous programming tool introduced in Java 8. It represents a future result of an asynchronous computation and provides methods for combining, chaining, and handling multiple asynchronous operations. Use cases include non-blocking I/O operations, parallel processing, and building reactive applications with better resource utilization.",UNDERSTAND,3.3,java
What is the Java Memory Model and how does it support multithreaded applications?,"The Java Memory Model (JMM) defines how threads interact through memory and what behaviors are allowed in concurrent execution. It specifies rules for visibility, ordering, and atomicity of shared variables. The JMM ensures that changes made by one thread are visible to other threads through proper synchronization mechanisms like volatile, synchronized blocks, and explicit locks.",REMEMBER,4.1,java
How do you create a thread-safe singleton class in Java?,"A thread-safe singleton can be created using: 1) Synchronized method approach, 2) Double-checked locking with volatile keyword, 3) Enum-based singleton (recommended), 4) Initialization-on-demand holder idiom, or 5) Using concurrent utilities like AtomicReference. The enum approach is preferred as it handles serialization and thread-safety automatically.",EVALUATE,5.8,java
What is the difference between ConcurrentHashMap and HashMap in multithreaded environments?,HashMap is not thread-safe and can cause infinite loops or data corruption in multithreaded environments. ConcurrentHashMap uses segment-based locking (Java 7) or CAS operations with synchronized blocks (Java 8+) to provide thread-safe operations with better performance than synchronized HashMap. It allows concurrent reads and limited concurrent writes.,APPLY,5.5,java
Explain the concept of CompletableFuture and its use cases.,"CompletableFuture is a powerful asynchronous programming tool introduced in Java 8. It represents a future result of an asynchronous computation and provides methods for combining, chaining, and handling multiple asynchronous operations. Use cases include non-blocking I/O operations, parallel processing, and building reactive applications with better resource utilization.",UNDERSTAND,3.3,java
What is the Java Memory Model and how does it support multithreaded applications?,"The Java Memory Model (JMM) defines how threads interact through memory and what behaviors are allowed in concurrent execution. It specifies rules for visibility, ordering, and atomicity of shared variables. The JMM ensures that changes made by one thread are visible to other threads through proper synchronization mechanisms like volatile, synchronized blocks, and explicit locks.",REMEMBER,4.1,java
How do you create a thread-safe singleton class in Java?,"A thread-safe singleton can be created using: 1) Synchronized method approach, 2) Double-checked locking with volatile keyword, 3) Enum-based singleton (recommended), 4) Initialization-on-demand holder idiom, or 5) Using concurrent utilities like AtomicReference. The enum approach is preferred as it handles serialization and thread-safety automatically.",EVALUATE,5.8,java
What is the difference between ConcurrentHashMap and HashMap in multithreaded environments?,HashMap is not thread-safe and can cause infinite loops or data corruption in multithreaded environments. ConcurrentHashMap uses segment-based locking (Java 7) or CAS operations with synchronized blocks (Java 8+) to provide thread-safe operations with better performance than synchronized HashMap. It allows concurrent reads and limited concurrent writes.,APPLY,5.5,java
Explain the concept of CompletableFuture and its use cases.,"CompletableFuture is a powerful asynchronous programming tool introduced in Java 8. It represents a future result of an asynchronous computation and provides methods for combining, chaining, and handling multiple asynchronous operations. Use cases include non-blocking I/O operations, parallel processing, and building reactive applications with better resource utilization.",UNDERSTAND,3.3,java
What is JavaScript and what are its key features?,"JavaScript is a dynamic, interpreted programming language primarily used for web development. Key features include dynamic typing, first-class functions, prototype-based inheritance, event-driven programming, and ability to run in browsers and servers (Node.js).",UNDERSTAND,4.2,javascript
What are JavaScript data types?,"JavaScript has primitive types: undefined, null, boolean, number, string, symbol, and bigint. It also has non-primitive types like objects, arrays, and functions. Variables are dynamically typed and can change types at runtime.",REMEMBER,2.9,javascript
"What is the difference between var, let, and const?","var has function scope and is hoisted with undefined initialization. let has block scope and temporal dead zone. const has block scope, must be initialized, and cannot be reassigned (but objects/arrays can be mutated).",REMEMBER,2.6,javascript
What is hoisting in JavaScript?,"Hoisting moves variable and function declarations to the top of their scope during compilation. var variables are hoisted with undefined, let/const are hoisted but in temporal dead zone, and function declarations are fully hoisted.",REMEMBER,2.8,javascript
What are JavaScript functions?,"Functions are first-class objects that can be assigned to variables, passed as arguments, and returned from other functions. They can be declared using function declarations, expressions, or arrow functions with different scoping rules.",REMEMBER,3.2,javascript
What is the difference between == and === in JavaScript?,"== performs type coercion and compares values after converting to the same type. === performs strict comparison without type conversion, comparing both value and type. Always prefer === for predictable comparisons.",UNDERSTAND,4.1,javascript
What are JavaScript arrays?,"Arrays are ordered collections that can store multiple values of any type. They have dynamic length and provide methods like push(), pop(), map(), filter(), reduce(). Arrays are objects with numeric indices and length property.",REMEMBER,2.8,javascript
What are JavaScript objects?,"Objects are collections of key-value pairs where keys are strings (or Symbols) and values can be any type. They support property access via dot notation or bracket notation and can be created using literals, constructors, or Object.create().",CREATE,5.9,javascript
What is the DOM in JavaScript?,"DOM (Document Object Model) is a programming interface for HTML documents. It represents the page structure as a tree of objects that JavaScript can manipulate to change content, structure, and styling dynamically.",REMEMBER,3.7,javascript
What are JavaScript events?,"Events are actions that occur in the browser like clicks, key presses, or page loads. JavaScript can listen for events using addEventListener() and respond with event handlers. Events follow capturing and bubbling phases through the DOM tree.",REMEMBER,2.0,javascript
What is scope in JavaScript?,"Scope determines variable accessibility in different parts of code. JavaScript has global scope, function scope, and block scope (ES6+). Variables follow scope chain resolution, looking from inner to outer scopes until found.",REMEMBER,3.2,javascript
What is closure in JavaScript?,"Closure occurs when an inner function has access to outer function's variables even after the outer function returns. It creates a persistent scope that maintains variable references, enabling data privacy and function factories.",CREATE,5.7,javascript
What is this keyword in JavaScript?,"The 'this' keyword refers to the object that is executing the current function. Its value depends on how the function is called: method calls bind to object, regular calls bind to global/undefined, arrow functions inherit from enclosing scope.",REMEMBER,2.4,javascript
What are JavaScript prototypes?,Prototypes are objects from which other objects inherit properties and methods. Every object has a prototype chain leading to Object.prototype. Functions have prototype property used when creating instances with 'new' keyword.,APPLY,4.2,javascript
What are JavaScript classes?,"Classes (ES6+) provide syntactic sugar over prototype-based inheritance. They define blueprints for objects with constructor, methods, and support inheritance via extends keyword. Classes are still functions under the hood.",REMEMBER,3.2,javascript
"What is call, apply, and bind in JavaScript?",call() invokes function with specified 'this' and individual arguments. apply() is similar but takes arguments as array. bind() returns new function with bound 'this' value without immediately invoking it.,APPLY,3.9,javascript
What are arrow functions?,"Arrow functions (=>) provide shorter syntax and lexically bind 'this' from enclosing scope. They don't have their own 'this', 'arguments', or 'super', and cannot be used as constructors with 'new'.",APPLY,2.7,javascript
What are JavaScript array methods?,"Important array methods include map() for transformation, filter() for selection, reduce() for accumulation, forEach() for iteration, find() for searching, and sort() for ordering. These methods don't mutate original arrays (except sort).",REMEMBER,3.8,javascript
What is destructuring in JavaScript?,"Destructuring extracts values from arrays or properties from objects into distinct variables using syntax that mirrors construction. It supports default values, rest patterns, and nested destructuring for complex data structures.",CREATE,4.8,javascript
What are template literals?,"Template literals use backticks (`) for string creation with embedded expressions ${expression}, multiline strings, and tagged templates. They provide more readable string interpolation compared to concatenation.",UNDERSTAND,3.6,javascript
What are Set and Map in JavaScript?,"Set stores unique values of any type with methods like add(), has(), delete(). Map stores key-value pairs where keys can be any type, unlike objects. Both are iterable and provide size property.",REMEMBER,2.8,javascript
What is JSON in JavaScript?,"JSON (JavaScript Object Notation) is a text format for data exchange. JSON.stringify() converts objects to JSON strings, JSON.parse() converts JSON strings to objects. It supports strings, numbers, booleans, arrays, objects, and null.",REMEMBER,3.0,javascript
What are Promises in JavaScript?,"Promises represent eventual completion or failure of asynchronous operations. They have three states: pending, fulfilled, or rejected. Promises support chaining with .then() and .catch() for better async code management than callbacks.",REMEMBER,3.2,javascript
What is async/await in JavaScript?,"async/await provides synchronous-looking syntax for asynchronous code. async functions return promises, await pauses execution until promise resolves. It simplifies promise chains and error handling with try/catch blocks.",APPLY,3.7,javascript
What is the Event Loop in JavaScript?,"Event Loop manages asynchronous operations in single-threaded JavaScript. It monitors call stack and callback queue, moving callbacks to stack when empty. This enables non-blocking I/O operations despite single-threaded nature.",REMEMBER,2.7,javascript
What are callbacks and callback hell?,"Callbacks are functions passed as arguments to handle asynchronous results. Callback hell occurs when multiple nested callbacks create deeply indented, hard-to-read code. Promises and async/await solve this problem.",APPLY,3.3,javascript
What is module system in JavaScript?,Modules organize code into reusable units. ES6 modules use import/export syntax for static imports. CommonJS uses require/module.exports for dynamic imports. Modules provide encapsulation and dependency management.,APPLY,3.8,javascript
What is React.js?,"React is a JavaScript library for building user interfaces using component-based architecture. It uses virtual DOM for efficient updates, JSX for declarative syntax, and supports state management and lifecycle methods.",APPLY,4.7,javascript
What are React components?,Components are reusable UI building blocks that return JSX. They can be functional (using hooks) or class-based (with lifecycle methods). Components accept props for data and manage internal state for dynamic behavior.,REMEMBER,4.0,javascript
What is Node.js?,"Node.js is a JavaScript runtime built on Chrome's V8 engine for server-side development. It provides non-blocking I/O, event-driven architecture, and npm package manager for building scalable network applications.",CREATE,5.8,javascript
What is the difference between null and undefined in JavaScript?,"undefined means a variable has been declared but not assigned a value, or a function doesn't return anything. null is an explicit assignment representing 'no value' or 'empty'. typeof null returns 'object' (a known quirk), while typeof undefined returns 'undefined'.",REMEMBER,4.0,javascript
What is type coercion in JavaScript?,Type coercion is the automatic conversion of values from one data type to another. JavaScript performs implicit coercion in operations like '5' + 3 = '53' (string concatenation) and '5' - 3 = 2 (numeric subtraction). Understanding coercion rules helps avoid unexpected behavior.,REMEMBER,3.6,javascript
What are falsy values in JavaScript?,"Falsy values are values that evaluate to false in boolean contexts. They include: false, 0, -0, 0n, '', null, undefined, and NaN. All other values are truthy. This is crucial for conditional statements and logical operations.",REMEMBER,1.8,javascript
What is the difference between function declarations and function expressions?,Function declarations are hoisted completely and can be called before they're defined. Function expressions are not hoisted and must be defined before use. Arrow functions are always expressions. Example: function declaration vs const func = function() {}.,REMEMBER,3.8,javascript
What is the arguments object in JavaScript?,The arguments object is an array-like object available in all non-arrow functions containing the values of arguments passed to that function. It has length property but lacks array methods. Arrow functions don't have arguments object; use rest parameters instead.,APPLY,3.0,javascript
What are rest parameters and spread operator?,"Rest parameters (...args) collect multiple arguments into an array. Spread operator (...) expands arrays/objects into individual elements. Rest is used in function parameters, spread in function calls and array/object literals. Both use same syntax but opposite purposes.",APPLY,5.0,javascript
What is the difference between innerHTML and textContent?,"innerHTML gets/sets HTML content including tags and can execute scripts. textContent gets/sets only text content, stripping HTML tags and is safer from XSS attacks. innerText considers styling and won't return hidden text, while textContent returns all text.",REMEMBER,3.2,javascript
What is strict mode in JavaScript?,"Strict mode ('use strict') enables stricter parsing and error handling. It prevents use of undeclared variables, makes silent errors throw exceptions, prohibits duplicate parameter names, and changes 'this' behavior. It helps catch common coding mistakes and unsafe actions.",APPLY,4.2,javascript
What is the difference between for...in and for...of loops?,"for...in iterates over enumerable property names of an object (including inherited properties). for...of iterates over iterable objects' values (arrays, strings, Maps, Sets). Use for...in for objects, for...of for arrays and other iterables.",APPLY,5.0,javascript
What are JavaScript symbols?,Symbols are unique primitive values used as object property keys to avoid name collisions. Each Symbol() call creates a unique symbol. Symbol.for() creates/retrieves global symbols. Common use cases include creating private properties and well-known symbols like Symbol.iterator.,APPLY,4.2,javascript
What is the prototype chain in JavaScript?,"Prototype chain is the mechanism by which objects inherit properties and methods from other objects. When accessing a property, JavaScript looks in the object, then its prototype, then prototype's prototype, up to Object.prototype. This enables inheritance and method sharing.",REMEMBER,3.3,javascript
What is the difference between Object.create() and constructor functions?,"Object.create() creates a new object with specified prototype. Constructor functions create objects using 'new' keyword and set up prototype automatically. Object.create() offers more control over prototype chain, while constructors provide conventional class-like syntax.",CREATE,6.7,javascript
What are getter and setter methods in JavaScript?,"Getters and setters are special methods that provide controlled access to object properties. Getters are called when property is accessed, setters when property is assigned. They're defined using get/set keywords and allow data validation, computed properties, and encapsulation.",REMEMBER,3.7,javascript
What is method chaining in JavaScript?,Method chaining allows calling multiple methods on the same object in sequence by returning 'this' from each method. This creates fluent interfaces and more readable code. Common in jQuery and array methods like arr.filter().map().reduce().,CREATE,6.4,javascript
What is the difference between static and instance methods?,"Static methods belong to the class itself and are called on the class, not instances. Instance methods belong to object instances and have access to instance properties. Static methods can't access instance data directly and are used for utility functions.",APPLY,4.2,javascript
What is mixin pattern in JavaScript?,Mixin pattern allows objects to inherit properties from multiple sources without classical inheritance. It's implemented by copying properties from one object to another. Mixins provide a way to achieve multiple inheritance-like behavior in JavaScript.,APPLY,3.9,javascript
What are WeakMap and WeakSet in JavaScript?,"WeakMap and WeakSet are collections that hold weak references to objects. Objects can be garbage collected if no other references exist. WeakMap maps objects to values, WeakSet stores objects. Both are not enumerable and don't prevent garbage collection.",REMEMBER,2.6,javascript
What is the difference between shallow copy and deep copy?,Shallow copy creates a new object but nested objects are still referenced. Deep copy creates completely independent copies of all nested objects. Object.assign() and spread operator create shallow copies. Deep copy requires recursive copying or libraries like Lodash.,CREATE,5.9,javascript
What are array-like objects in JavaScript?,"Array-like objects have numeric indices and length property but lack array methods. Examples include arguments object, DOM NodeList, and strings. They can be converted to arrays using Array.from(), spread operator, or Array.prototype.slice.call().",REMEMBER,3.2,javascript
What is the difference between slice() and splice() methods?,"slice() extracts a portion of array without modifying original, returns new array. splice() modifies original array by removing/adding elements at specific index, returns array of removed elements. slice() is immutable, splice() is mutable.",REMEMBER,4.2,javascript
What are higher-order functions in JavaScript?,"Higher-order functions either take functions as arguments or return functions. Examples include map(), filter(), reduce(), and setTimeout(). They enable functional programming patterns, code reusability, and abstraction. Functions are first-class citizens in JavaScript.",REMEMBER,4.0,javascript
What is currying in JavaScript?,"Currying transforms a function that takes multiple arguments into a sequence of functions that each take a single argument. Example: add(a, b) becomes add(a)(b). It enables partial application, function composition, and creating specialized functions.",REMEMBER,3.8,javascript
What is memoization in JavaScript?,"Memoization is an optimization technique that caches function results to avoid redundant calculations. When function is called with same arguments, cached result is returned. It's useful for expensive recursive functions like fibonacci calculations.",APPLY,4.3,javascript
What is debouncing and throttling in JavaScript?,"Debouncing delays function execution until after a specified time has passed since the last call. Throttling limits function execution to once per time interval. Debouncing is used for search input, throttling for scroll events. Both optimize performance.",APPLY,5.1,javascript
What is the microtask queue in JavaScript?,"Microtask queue has higher priority than the callback queue in the event loop. Promise callbacks, async/await, and queueMicrotask() use microtasks. They execute before the next event loop iteration, ensuring predictable ordering of asynchronous operations.",APPLY,4.0,javascript
What is the difference between Promise.all() and Promise.allSettled()?,"Promise.all() resolves when all promises resolve, rejects if any promise rejects. Promise.allSettled() waits for all promises to settle (resolve or reject) and returns results with status. Use Promise.all() when you need all to succeed, Promise.allSettled() to handle mixed outcomes.",APPLY,4.6,javascript
What is Promise.race() and Promise.any()?,"Promise.race() resolves/rejects with the first promise that settles. Promise.any() resolves with the first promise that resolves, only rejects if all promises reject. Race is useful for timeouts, any for redundant requests where first success matters.",APPLY,4.0,javascript
